review_profilename,user_encoded
Steaks,6716
cannabanaceae,9573
inhoc00,12424
amiles,8141
demitriustown,10562
mrkrispy,14877
montageman,14786
jorjoria,13129
grees20,11881
brewbubba1,9269
muletrane,14954
sevenarts,16776
BikeChef,1032
smokeypeat,17082
hophunter,12200
Seahorse,6354
HopHottie,3373
adammills,7912
eddocron,11084
dwvarner77,11025
rabidawg,16018
trumick,18072
gimmehead,11728
Maestro,4642
kwalters,13712
ikonoklast7,12375
findlayfan,11407
StuFox,6805
Ellbert,2522
Jables,3725
jcalabre,12677
Pete27lax,5578
Armand,442
flipper2gv,11448
Nikkibrews13,5241
mizzouguy,14643
luisfrancisco,14008
Trilogy31,7347
Aircow86,272
jefferz5000,12758
schlimenhaumer,16625
FarmHouseJam,2649
doucmehu,10821
brandoncox,9226
brewdenver,9276
mdogg,14386
DannyDan,2069
stckhndlr,17289
msante79,14899
BeerMaverick,800
arktos,8269
likethetaste,13882
Jawn,3783
gtermi,11928
TallDrinkOfLager,6954
yuenglingfan101,18735
wethorseblanket,18458
wmtxbb,18554
Katulus7,4131
digr,10650
JKIRBY,3676
JoeBloe,3917
cpmichael,10105
Double06,2296
MadCat,4628
brendanbeer,9246
Someguy1989,6618
TVolt1,6928
modernartblues,14758
KBHops,4068
bugaboo416,9453
matthewalee,14254
travMI13,18013
vobr0002,18326
brydeen,9406
dejrrma,10548
unibrew,18212
ncaudle,15082
surlytheduff,17485
twelvepack,18124
headbucket,12052
Jaycase,3795
SAxDRC5,6173
Crittervision,1890
DamDweller,2035
dannyhipps,10355
sacrelicio,16519
TheHopfather,7100
urwithdave,18228
lllarzzz,13930
lordkman,13965
turnstile,18111
jmerloni,12966
Nibbley,5217
THORN,6896
BehindtheFinBrew,899
WeimtimeBier,7633
AdamGarcia,232
MrIncognito,5040
digita7693,10644
cdpike,9689
otto251068,15501
UpToMeBeer,7473
papat444,15552
beerbully,8615
afausser,7947
Beerisgood3,863
mjn5036,14668
travduke,18014
KingEdward,4212
atremains,8327
Hypersomnia,3462
mutterfudder,14982
tattooedtolley,17568
Pedro07,5553
mikedashg,14550
jmacdaddy2008,12950
eternaljester81,11257
FrognutUnl,2795
kbm,13403
dqderrick,10845
meich75,14415
association330,8302
hike20,12113
m2paulun,14042
CoalCellar,1787
merryjoulton,14447
josephoselander,13132
srrn,17245
ndm502,15099
TequilaSauer,7006
Mposha,5011
baldiegooner,8429
abents,7868
timmay41,17874
johnmichael712,13071
Pullen,5771
TheDoorman,7077
uno99,18220
ROBORB,5821
b3barron,8389
Source,6633
luciusgilmer,14004
BoitSansSoif,1161
JonathanL7890,3983
oldhippie247,15400
scottoale,16676
pgenius,15696
JackRose,3728
JWD,3720
Jekster,3833
Stygr,6811
hindbender,12119
Greggy,3069
lilbigbudy,13883
jchelf,12682
SwillBilly,6862
guzzle211,11966
bigman147,8917
Reed415,5938
jopl,13121
ThePorterSorter,7141
elephantrider,11151
HopHeadKen,3360
BUD,579
Callenak,1538
beerceller99,8621
murrayswine,14966
SethB2,6394
czoch75,10268
murphysbleachers,14964
GeoffFromSJ,2917
alaskaiscold,8033
themotleyfool,17779
isubsmith,12493
wbfarr,18407
jsisko01,13231
edrachman,11096
BeerDawgs,756
jimbus,12867
TheTot,7171
matt20102,14235
yamar68,18686
BoosPackage,1180
brewdan,9275
BeerNutz324,815
bld81,9031
Kvltbm,4293
thebrood1987,17729
hwy61mb,12292
Chadpaq,1635
myatomicpolygon,15006
jchow79,12683
dankster,10343
Jake1605,3742
beveragesampler,8817
malloyca,14110
3FaveryRogue,70
acurtis,7898
Bay01,678
gpioski,11835
jrnyc,13204
TheMultiYeast,7133
hurricanelars,12283
rgb2807,16198
nanchen,15044
blackearth,9006
JohnL9013,3948
brewdoc75,9278
sublimesipping,17426
batty,8497
EvilPumpkin,2596
mckajd03,14349
apbarwood,8225
bikencycle,8934
bkrueger,8996
mjtiernan,14680
BeerNuggets,813
blaheath,9019
scredsfan,16694
SteveO1231,6737
slowhead,17035
peterittenhouse,15682
wardough,18385
Dalem,2032
DavidSeanNJ,2127
SmithwicksNut,6579
krkearney,13672
eddiebo,11082
tastybeer,17563
adamlangolf,7909
rodrjf,16358
IPADAN,3490
nataku00,15058
mjvos,14683
pigc,15759
Neorebel,5197
nflmvp,15147
DIPA,1964
scratch69,16690
enfield249,11198
CraftAle,1860
finewinemike,11409
brealbg,9241
robboyd,16316
JMforman,3693
EnemyWithin,2540
mmmmBEEEER,14726
steinlifter,17309
Ahhdball,266
spoons,17217
reefkeeper99,16152
RppIII,6105
skullsplitter,16981
Kallessin,4114
stangski83,17272
AprilMarie,413
bwiechmann,9513
femALEist,11380
thisisxxmyIPA,17829
gabe23,11582
thegreatbeerer,17756
tdmillerjr,17615
deathcab,10519
jokelahoma,13098
sohio,17121
jjshowal,12906
wescj,18448
Drone53,2370
Flashsp2,2719
mmva321,14733
Bellabananas,909
melloashello,14424
nectar14,15106
y2j2280,18680
Trueant1,7373
OneEyedJack,5382
icetraxx,12345
brewbasterd,9266
Cubsfan1087,1921
QuentinCall,5792
mjpolzin,14670
boilermakerbrew,9138
ales4baldo,8059
SanDiegoBeerLove,6276
jiggahertz,12858
DawnL,2132
schanker21,16612
elfcounsul,11152
stapleton87,17276
jcmotz,12690
h00dak,11974
tw0st3p,18120
DAllspaw,1946
teovaldi,17653
zoso493,18816
leakyfaucet12,13808
Strawbs,6796
DooMMonkey,2279
tjd112,17904
archiespeck,8252
Josievan,4013
SCastardi,6179
icefisherman,12340
bobv,9129
mdawson,14376
ProLiquorMan,5740
SiepJones,6479
SIRIUS2,6198
blackdog1101,9005
DeltaGolfSierra,2164
FattyJLE,2665
marchoftheclouds,14154
BuckeyeOne,1401
tatoodkelt,17565
cope0021,10068
Recordgrooves,5910
TheycallmeTim,7191
Flare1728,2718
TripT,7350
ditch,10677
slickmick22,17018
longdivision,13954
Dankuel,2065
dbtoe,10470
Beerdregs,856
jonziefle,13117
rosmhuire,16387
cynicgiraffe,10259
dananabanana,10318
madjr80,14072
mhoudeshell,14497
nomomentwasted,15262
thorvale,17837
nicnut45,15196
jamiesessions,12572
bmoney,9083
Knecht,4244
GrittyMug345,3089
bombinthepotty,9144
weasbri,18422
tniless,17942
mdale13,14372
ZymasefungiI207I,7832
Newkie,5211
FernMaster,2677
pasdachuri,15566
Flashy,2720
moosiz,14802
diechipmunk,10639
cptierney,10112
johnnybgood1999,13077
djvike,10705
earthboundagain,11046
will4240,18500
mikeal1917,14544
RobH,6036
McDiddyPop,4787
ansurdu,8206
canislupus88,9571
RyWill,6141
Heferwiezer,3243
ballenc,8432
tony223366,17977
MaltistLupulist,4671
Bobbydigi,1144
SRossman,6219
dfranks,10606
Arsenal04,453
glib,11743
dude,10971
0110x011,0
straybeer,17398
JAA,3628
BigBoochDaddy,984
darkside7268,10380
Shaon94,6424
Fartknocker,2654
strengthdoc,17402
ReynardenBrew,5970
Jerico,3845
bulletrain76,9459
horshack7,12239
albertjr21,8036
carlton012,9603
Nuke77,5304
crazeguy,10142
BronYrAur,1355
DarbyOGill,2078
CMitchell,1500
ostavela,15495
Fatduck,2660
JayNH,3789
fakeducks,11320
ahurd11085,7981
KOPBeerDrinker,4091
NiceGuyMike,5220
strangebrew52,17393
sweetbrew82,17502
rwrk42,16478
jkendrick,12916
ajr24,8003
JohnWaynes44,3956
powellmg,15893
cuttsjp,10232
jtierney89,13264
JimmieFrisbee,3894
sentomaster,16762
bifrostguard,8866
astrasday,8305
HappyBivouac,3183
n0315,15024
phantomwyse,15701
remllof,16175
chriskozma,9859
ElGrecoVerde,2505
taylor714914,17576
raoulduke37,16066
trpng0bily,18067
kurlare,13703
ProudBeerSnob,5753
adamhdv,7906
jp62099,13159
AdmiralDiaz,241
cleeze,9955
halfP1NT,11986
Trappistfan1,7324
LilMatrix,4437
TStandley13,6924
bainard,8422
saccro,16515
willjschmidt,18513
JimboHD2005,3887
Dulliwhig,2404
bwmichaud,9516
ChiHophead13,1682
ccarney2,9669
demuzik,10564
Illtryit,3545
Voonder,7553
twbrewer,18122
rileyn8,16252
LOCAL,4314
brewintheLou,9295
schellsbeer,16615
jstilwell,13249
Gish,2951
rmmm16,16308
WalrusJockey,7599
Klgkenny,4236
Deingeist,2154
lamarr04,13750
falcon1,11321
allagashfan,8089
msolar,14913
ak7071,8008
beckje01,8576
lessthanhadley,13846
JohnFatAss,3943
lanamj,13754
keepersj12,13440
crazeddaffy,10141
jojox,13096
djeffbee,10694
icebergfat,12337
LordofTime25,4505
RThomas436,5831
ommegoose,15425
shmidtb,16855
HopHead1982,3354
akokandy,8018
beerad666,8595
sfreshnock,16784
ncbeermonger,15083
tkarsies,17918
mochabudd,14754
PBoegel,5446
jraycee,13190
bigkahunas4,8909
Matty1918,4761
lynx1245,14036
Auslander,484
ABHatter,142
leif86,13831
watkins,18400
mullenpc,14956
ewright,11288
Shumania,6463
OsuJohn,5414
boyfromthenorth,9197
BandFan,619
Jmamay22,3907
Stonebreaker,6762
mnj21655,14740
7ways,118
Chinon01,1697
Neilio,5195
Rickythejeweler,5998
oneredarm,15444
abankovich,7858
Mahgeetah527,4652
thickerfreakness,17816
jgaston,12828
JMWEB2,3687
Brambleman,1228
Icepak,3522
beerismysavior,8670
ThirstyHerf,7204
VaterRoss,7503
fvernon,11575
stalker5,17267
LebronJeremy,4380
bkilpatr,8992
tprokop7,18000
gregc,11885
hopsleeroy,12228
cookin420,10055
beavers,8571
pheggeseth,15706
macster,14058
NitroGen,5249
Stoneman78,6765
Tizzod,7261
ConanDan,1812
tapman,17556
Weissbierman,7638
kdoc8,13427
PeBelanger,5546
wcpmohr88,18417
beerandcycling88,8597
dafizzif,10291
lostandwandering,13971
Bigswig,1030
MiScusi,4856
kpantz,13648
gbooch,11636
Upgrayedd,7474
phrygian68,15752
dwilkins,11022
sfoley333,16781
vwcraig,18349
bradford,9211
EliteDigger,2518
nickthegun12,15192
FaustieMo,2669
petemoss14,15679
BeerRun13,822
blsfreak,9050
AmorousAngel,360
BeerCheese,751
Estarrio,2578
bobbyc881,9106
BarroomHero,655
k3n,13350
Engibeer,2541
DogHouseBrewery,2255
seebus,16743
jdoolin,12730
KevBrews,4179
sman262,17048
oscardog,15488
artusory,8284
germaniac,11682
jmh210,12969
kaimcm,13361
Girlybeer,2950
alohaspicoli,8105
GreenPea,3053
justcas,13299
Hobbiman,3296
bargainboytrav,8449
DeaconBluez,2139
dick783,10634
PaulM,5531
dyremohr,11032
dciskey,10481
Shovelbum,6455
Linda,4445
froggyfrog,11537
ToggleEyes,7274
nisjer05,15217
Sudmissle,6816
mportsch,14842
Brewfan,1291
evanackerman,11267
numenor1,15332
rangel2,16060
NightINgale,5238
bishopdc0,8970
justiceavocado,13300
12vUnion,24
Sixpoint,6523
BlastTyrant,1094
dfuller,10608
TripelJ,7352
mdavis31481,14375
twelvinlucifer,18125
JackTheRipper,3730
fdrich29,11368
beerluvr,8686
Buildscharacter,1424
rdailey76,16110
fingolfin72,11411
ScottS,6336
mysphyt,15016
cbbjr,9641
bcostner1,8530
WrathsU,7740
gigaknight,11721
HossMcGraw,3437
Keithstone44,4155
scninmer08,16648
ratmonkey,16079
busterwhite,9494
vrushing88,18340
mentaltraveller,14438
hdelavega,12048
Tschnab,7376
One2Remeber,5379
Greasetrap,3041
mmmmmbeeer,14727
stxSS07,17419
scout,16687
cvm4,10236
mkotsayfan,14700
TheCondor,7065
PeterIngemi,5579
Netdigger2,5205
andrewjraab,8169
amcmaho1,8133
Uhlikm,7443
BizzyQU,1071
YouSkeete,7783
danmcg62,10346
GlassFreeek,2957
Jesse14,3864
MidnightWatch,4876
freewheelinbob,11526
YumYumGumGum,7788
homebrewer88,12161
richalexander78,16221
Emerson1310,2532
BrewStoutMagic,1278
tsauce,18081
Adrianized,246
DogfishRyan,2258
tetonka4kzoo,17662
Spcoly,6650
Haus,3211
johnkale,13069
RHCP313,5812
doctor333,10751
GeorgeAldi,2923
thedeezy,17739
depechemode1983,10571
frenchblood21,11527
rodney45,16354
akinsja,8014
sloescher,17029
todisht,17959
FourKicks,2765
Ehrnstrom,2490
cjoc83,9920
Sirbaron,6515
Pete0714,5577
FatBoyGotSwagger,2655
barleyPops,8453
scrizo,16698
SubpoenaDeuces,6813
bpw28,9206
Moon2Goddess,4983
DrewV,2351
CelticAleMan,1619
shangwang,16817
bobloblaw22,9120
alf212,8081
FARGO619,2619
Allpe45,333
mdr4669,14389
schmoopsbeer,16629
kjc51478,13576
MlhopeTC,4953
philly224,15728
birdman200,8965
StonyB,6769
Seeker41184,6379
OrangeAmps,5398
csrbv,10194
TrappistJohnMD,7323
TheDinger,7074
henskejk,12087
Sachsenfreude,6237
xpdrinker,18653
SauceBoss,6287
Fluke828,2736
genuinedisciple,11668
biggied,8900
OddNotion,5341
ccm414,9674
GuruDel,3122
Imsothirsty,3561
ImperialStoat,3558
alenonbeeradv,8056
legalpete19340,13827
henryd30,12085
BdubleEdubleRUN,688
ambluhm,8129
jrenihan,13198
arkurzynski,8270
crnipeter,10163
sugeknight6289,17435
dizknee24,10684
GrahamWalters,3030
ryantho00,16496
dciBA,10480
Brewbro000,1281
kellertrumpet,13454
Penguin3200,5561
ejimhof,11132
JimLetson,3884
Hellabeerguzzler,3247
Flipadelphia84,2726
ajaxivan,7991
Zodijackyl,7822
kevinv,13504
scubasteve04,16703
Buddha22,1409
JHamm,3670
micmillon18,14519
gerite,11679
rjknyy,16269
neophilus,15128
MDDMD,4571
Fermenticusrex,2676
TapeDeck,6961
afrokaze,7959
gdrydenc,11650
greenmonstah,11879
onefmatt,15438
BrewmasterNate,1298
suretolose,17475
cccarson,9672
brewmudgeon,9305
BranfordBound,1234
mrunseen,14896
Drinkin4Two,2361
BeerThursdays,834
JDFish,3658
ProfessorHomer,5745
mckeowbc,14351
SamN,6260
MamaMeier,4678
prdstmnky,15903
MowryJC,5008
ocelot2500,15365
adrock7309,7932
TheKtulu7,7114
kiddwhiz,13535
WestValleyIPA,7647
Keginator70,4148
StoryOfTheGhost,6772
Heavenisbeer,3234
sugit,17436
MuddyMcGinny,5082
birdyone,8966
twoheadedboy,18132
Brewmeist,1301
philmorepunk87,15733
SurlyMe,6846
jc85,12676
Shoegaze99,6452
Frothboss,2800
adsomers,7933
Weebay,7627
Giggy,2938
drea0695,10865
shageman331,16800
AndrewNations,379
smithdc33,17071
Choppr,1705
BeerEndevour14,763
lbaker,13798
aval89,8354
BillHaverchuck,1036
JunkYardJake,4036
coronajm,10078
Tifore,7234
brewski09,9317
niklas0770,15208
JWU,3722
devinoconnor,10593
cdoublev,9688
LaCoursiere,4327
jvillefan,13314
monkjuice,14784
mcnabb0001,14357
dutchlq7,11002
mjrod2142,14674
RankRefugee88,5866
Buggabeer,1419
TulipSnifter,7390
tang3nt,17549
kreeper,13666
jeburgdo,12741
alpineclimber,8111
revolt914,16189
ZacharyJ,7799
jrc64,13193
BamaViper1,615
clarkm04,9940
ZX6Chris,7795
gtn80,11931
Homebrew35,3323
LikaThaHops,4434
Pballa4lyfe,5543
willseph,18515
mynameisbuzz,15013
Spiekerbox,6664
RedneckBeerz,5929
jniagar1,13002
BeerDocT,759
dayswonder,10440
Metuo,4851
Kshock,4281
callmeopus,9554
tbus89,17600
Dunkle,2411
willPS21,18501
optimistictour,15457
BMan1113VR,562
Whiteweasel,7671
psychotia,15943
Keffa,4145
thehbchemistry,17758
DeutschesBier,2185
CHL,1488
Shakesbeere,6413
BigTomZ,1016
NDZonie,5129
Phillyphilms,5612
TTAmod,6926
Nordstrand,5277
mikem0487,14566
taulpepper,17569
MikeyMikee,4907
Jef59,3823
jonandhisflask,13102
mwcullnane,14995
capella,9580
mjenkins5,14656
J0E,3625
NCBeerFan,5122
heyta,12103
jonvan04,13115
6DaysBottomOcean,104
Kempleton,4161
tdrshayden,17616
rpezl,16401
liquidnoise,13904
HopHobo,3369
tat2dhllblly,17564
BYOFB,585
DJButters,1968
livin4jc,13923
pavandal,15611
logansboat15,13942
greenbeaner,11871
muffguy4beer,14948
JDK,3660
Musky,5110
malthead,14114
mmcave,14718
dbastardman,10450
BitterBrian,1062
a10t2,7836
nouseforotacon,15295
headhopper,12053
keoki182,13486
dreadnatty08,10866
nyjets1248,15347
thelagerheads,17773
nicksta,15190
jkeller,12914
hoffman,12144
heyitsbyron,12099
bearrunner44,8565
maddamish,14063
alewarrior,8062
edmundfitzoil,11093
Paincane,5484
bozebus17,9199
Hhawk06,3271
jtw5877,13277
MJR,4584
Sdesenberg,6350
Star80,6704
Seebs847,6378
mckemp,14350
SDtastentune,6184
MoustacheHero,5006
Mosley1212,5001
dtreindl,10961
trixdout,18054
JohannBock,3938
DabblinWiscCraft,2015
rundocrun,16449
papsdatank,15556
hopsgirl35,12226
JCDenver,3652
rogueleonardi,16363
bshanly,9415
sweett3k,17505
burkyburk,9478
EkimGram,2497
RugbyGreg,6114
rossmctostadas,16389
Dubbledown,2387
NateMac13,5173
raszputini,16075
MaxSpang,4773
uwharrieguy,18241
JCBears,3651
BennyL1,924
Kylito87,4301
DeadGuyRyan,2140
dhd1491,10622
jbertsch,12651
Apellonious,407
tyamhydrogen,18138
cradke,10121
J23hc,3626
bensamann,8787
speter,17196
Guitarctica,3113
dball,10447
cfrivera1,9720
dirkchivers,10664
CaptFrothy,1563
EtOHMD,2582
arboristfish,8249
smurder187,17088
BuckeyeSlim,1402
Transatlantic,7320
tylernim,18148
DerekP,2174
mikeborglum,14547
Darkmagus82,2092
BrauKilR,1236
StephenRich,6729
hops1337,12221
chasebrownyeah1,9767
runner72,16454
king75,13548
tbizzle0,17589
ballz50401,8436
dpasotti,10834
Aenema,249
crawlingchaos,10137
wac9,18351
sluggermatt15,17037
HopNuggets,3379
Darien,2081
russellaaron69,16460
professorninja,15915
Greenst82,3062
groovemonster,11910
BBri,526
kevinjosephlee,13500
HopHooligan,3372
kalkavekkian,13366
jbails007,12639
irishking1977,12458
bryanmetzger,9404
mkyle,14704
jakeyb,12550
joemeister,13040
TonyReaves,7300
DMXLOX22,1982
clemtig76,9959
memory,14431
wingedeel,18525
HerrKommissar,3262
scarfield,16605
joek440,13029
ujsplace,18185
oneeye,15434
ndillon45,15098
PerroGrande,5572
trafordboy,18007
johannasclimacus,13055
Albinoh,288
badenglishihave,8407
Gump,3117
HoppyMcStout,3406
talkinghatrack,17540
onehoppygirl,15441
codysjb,10019
JustinMatthew,4048
storksonm,17379
william5586,18508
Epicedion,2553
YesFest,7771
SierraGS,6480
orangemoustache,15465
ClassicBrad,1762
thecrowg,17738
HotHands,3439
rustan,16466
keithmurray,13449
barleyroad,8459
jwhancher,13323
YankChef,7764
joezak5,13054
Lenny2884,4397
Duffman,2396
SirEgbert,6509
gpia7r,11834
klintok21,13595
TATTORSO,6877
Pauly2X,5538
rockstarnati,16345
dbatch,10451
Deadstar,2142
adams82,7916
quirkzoo,16007
AndySR15,389
biggmike,8902
illinibeerman,12378
billybob,8949
bfr1992t,8827
CoSMoSYS,1786
LeftonJackman,4387
SturmWolf,6809
shertz,16841
gotweid,11826
leviathan85,13857
BWMKappaSig,582
tmoore600,17938
abaculy,7856
nitro0292,15220
bbb099,8508
gamanley,11596
pgaveau,15694
jkaiser150,12907
adamdarcy,7903
VoiceOfTheSoul,7548
misfit1034,14618
mrgnwlkr,14870
StoutyMcStouters,6790
djmitche,10700
maddogruss,14067
Torps,7314
jthahn,13259
jlenik,12936
davod23,10436
tegelaar,17637
gwguest,11968
IPASetter,3494
biggerboat88,8899
johndoe8,13065
chase2634,9766
Patchmaster,5519
cochell,10011
Wiid,7680
JoshRadTxist,4006
mojo437,14765
plumcrazyfx,15819
Paulydeets,5539
MufflnMan,5088
Keith238,4149
bayoubeerguy,8502
Twerknasty,7403
umfskibum,18191
BelgianAleSlut,902
lillearner,13887
areitz,8255
surlysober,17484
nase,15053
BlueHammer,1116
PRemi,5465
curly80,10223
tallar,17542
juzy,13310
rteis,16426
eclectic,11069
DrainBamage,2333
yeastsipper,18700
partyworlddave,15564
blackthistle,9016
WasTrinkenSie,7611
triplecoil,18052
mccordbmw,14338
trentley87,18037
DomErie,2269
gottajiboo2,11825
eschuber,11247
HombreWing,3319
reeder,16151
dkeramaty,10709
iamthird36,12319
uwmgdman,18242
turnblom79,18109
andebrice,8160
koolchas,13635
RidiculedDisplay,6001
khoff82,13530
tdexterc,17613
UplandFan,7475
olacub,15394
tboom29,17594
GDMFSOB,2834
lflesh,13863
mheckman,14490
johnfroy,13066
MUSHROOMCLOUD,4609
mattpetti,14270
Bonhoeffer,1170
Calico,1535
n8tron,15032
Shultzerdugen,6462
hoplover82,12205
klow1,13599
JNewbs,3696
Robtobfest,6049
bamojr,8439
TwoHeartedMale,7407
pinni,15772
BEERMILER12,538
stellashay,17310
antique,8211
Ctendall,1917
falloutsnow,11325
LeftyEtc,4390
zoolou,18811
imagese,12383
vitrael,18319
BradDurbin89,1219
Crundy,1910
quaybr,15996
zac16125,18749
PerHops,5568
poibag808,15846
Rjhami,6023
mikeaji,14543
xrdsci,18659
Hamsteroceros,3172
luxbwin,14028
icharus84,12347
rcusick,16108
TheSaboteur,7153
SickGnar,6469
Ninjabrew,5245
stingrayvr6,17351
PTMcB,5473
madeofsteel,14071
Brewsky29,1315
Fuzzy1,2817
sellmeagod,16753
DanThomas,2050
ryanobeirne,16491
dchester,10477
jal30,12553
VTaler,7484
NealVsBeer,5183
Sweasty,6857
nickydel,15194
BrewsBrother,1310
DocTheDJ,2245
Surly87,6844
michaelbutler,14505
Durtdiggler,2418
JamisonM,3760
irisier,12466
chefkevlar,9791
ufotofuturo,18179
klkatz,13597
traviserickson,18021
Cannabinaceae,1550
Jeebs,3822
gregalobeer,11883
ryanismean,16487
athensbeermaster,8311
OpenMic,5394
llllDrGONZOllll,13931
goblet,11774
MOShepp,4597
winegourmet76,18524
surlyseth,17483
carolinahophead,9604
Buggies,1421
Caesar024,1527
smallbatchbrewer,17047
toolbrew,17982
ChokeHold,1702
cullen0013,10218
smithflipper,17072
bboven,8515
Dibujob,2198
deg,10543
iuhoosier336,12504
Bartrob6,661
hoppyeverafter,12214
mikeriley,14574
guitarsnbeer,11950
BeenJammin,725
cameraready,9562
Chugmonkey,1742
PirateUlf73,5649
zerofear13,18793
HopHeadLouie,3361
ElmerBruisery,2524
FrothHead,2799
ruckzuck,16431
Phocion,5618
Ryanbob,6158
xare,18627
deck05,10528
EStreet20,2456
FreightTrain,2787
mouth420,14831
slatetupelo,17008
hopflop,12189
kleffman,13590
ajmoody76,8002
mychalg9,15007
beerindex,8665
MichaelinFishers,4863
stin66,17349
ntatum,15322
JudgeRoughneck,4026
kennyo,13476
mjrauch,14672
kohoutek,13628
lester619,13848
amicar,8139
AltTrinker,343
rustrose,16467
fizzyfred,11432
HogHill,3304
Crousejs,1903
adowney523,7929
sullysbeer,17445
NJBeerguy,5136
Zaradog,7803
funkymuppet,11565
greybeardloon,11896
Phinner,5617
nickthetick,15193
DKMonroe,1976
Dogstooth5,2262
Biffster,975
mpcrump,14836
mweso2000,14997
freescribbles,11525
NickBus,5226
CosmicCharlie,1837
jculler82,12699
jefferyc,12757
PEIhop,5455
braski,9232
GruvisHops,3103
SpeakFreely,6652
tjkurz,17910
thisisshsas,17828
arepwhotravels,8256
pb9613,15621
shaebs99,16799
Salo,6252
millertyme71,14596
nlong,15236
pvsob,15975
manitouman84,14134
soulfly1492,17149
TheOtherMike,7139
TXHops,6932
Chris585,1709
B967ierhunter177,513
surprenant1138,17487
hikix,12115
jimlin,12876
gdkersey,11646
ctfixer,10201
mjryan,14676
TomGavin,7283
cbw1978,9665
TPatuto,6919
ironlung,12472
JoeCeez,3918
beerdown77,8629
wugambino,18606
deanwilson,10515
Itoclown,3620
xsists,18660
slater1313,17007
BgThang,951
tadowdaddy,17531
treedoctor5002,18031
bdo894,8539
3dudesbeerblog,73
Ralphs66,5850
nbeattie,15076
sirdillon,16926
kevinconroy,13496
Amdy,351
DangQuesadilla,2053
diabecktic,10628
bmxer87,9090
fdkayti,11366
swanny28,17495
cpone,10108
CrystalPesci,1912
GSmithBeer,2857
cr0ckett,10116
Jslay77,4022
danielsonc,10338
edfish,11087
unit555,18214
kirkmichel,13565
hopburster,12182
Kitt,4229
jzsams,13348
VtBrew,7556
bbarrows,8507
jhimstedt,12845
Bbloom1989,682
Skitowneric,6542
mahargcornsilk,14096
SalukiAlum,6255
sdderek,16713
wrightro07,18593
Hopalong29,3384
Kkottonmouthkngz,4233
dcsoke,10487
iheartIPA,12365
SovereignBCS,6640
laza1979,13793
artcurtis,8279
teamizm,17622
MKEHophead,4585
CushyGig,1931
ike4tay45,12373
Merchant46,4831
mn6,14734
bskrtz,9418
japcmiller,12580
delahani,10549
boostsr20,9162
GoldHorde,2985
bbeerman,8510
tnlandsailor,17943
skinny0ne,16971
jmshulk,12988
rhenning,16206
happilysurly,12006
jcnd9803,12691
ugaterrapin,18180
ArrogantJaron,452
vishneda,18313
OttoBomb,5424
DTavares,2002
Phillie,5603
Tree43088,7333
DanielRP,2060
BenZ,919
BWH3,581
jimj21,12875
jminsc76,12973
greg202stewart,11882
EddieSTL,2478
EliottJW,2517
gixxerrider21,11731
ozzyj1,15517
bigaltemple,8870
antlerwrestler19,8212
TheBCrew,7037
nuggetnectar01,15327
Gigantis,2937
amneziak,8143
whitehouse50,18481
AtlasBrew,468
PorterForMe,5712
nasty31,15057
CountLupulus,1841
jlb307,12934
jcompton,12692
AlexCuse,307
blaje,9020
radshoesbro,16026
eaglefreak,11041
dgfair,10612
kboett77,13405
ubermunkey,18166
Kurland,4289
BAbaracus,517
onsite416,15449
DJSpidey,1973
JustinOSU99,4049
boothbeer,9163
fartingdog,11336
Bigc3031,1023
chadlebald,9733
mzrebiec,15021
tjfinkle,17906
zimmerbloke,18800
adkirkish,7925
brandoneast,9227
ghostee,11710
MIMicrobrews,4581
drewd0g,10874
laurennn,13784
speer,17193
sway0925,17498
PileOwnz,5635
hz23hz23,12299
KCHops,4073
SeanFlanagan,6358
Thia417,7192
HopHed,3367
kundog18,13697
Blob77,1108
mroberts1204,14886
alkchrios,8087
samiam32,16538
Godot,2980
Happyshooter,3186
beeronesse,8705
ndolover,15100
StoutMaster77,6780
ICCULIS,3467
gamwich,11599
kytashie,13730
mcgwire756,14344
weiserr,18435
Rayzorspur,5888
11osixBrew,17
ROMER79,5824
riboflavin88,16218
Bclintho,686
nefarious13,15112
ShemRahBoo,6438
carlosd74,9601
TenmaNeko,7003
MattBrooks,4745
toddjemery,17956
GolgiIPAratus,2997
DanJan,2047
Hayward,3224
theRooster90,17714
Chadbrew,1634
bkett01,8991
snilsen13,17100
ranbeer,16051
BrewMaester,1267
crockdaddy,10165
nogoodreason,15255
badbread,8406
rocketmotor,16344
trancefishy,18010
sjverla,16950
inebrius,12417
vtblackdog,18341
danoeltico,10357
Errto,2567
JoeBCBC,3916
DustinPowers74,2421
JAYAR1,3636
patpbr,15577
fmccormi,11465
AdamJackson,233
threeviews,17841
tigerbass,17854
morehoppps,14809
Bodart,1153
JonathanG,3982
BigDRS,990
jables7,12518
emmasrue1,11187
pieman25,15757
iBeer16,12301
Archemedies,427
jmarklan,12957
Digimaika2,2205
diddyb,10638
schmidtn,16627
nosurrender23,15282
jboucher,12661
yourchoice,18730
Genuine,2915
vapodge,18261
Neecee513,5188
WAN2RIDE,7560
inilegna,12426
drpdaddy,10917
wafers,18354
brewpig,9312
CalhounJohn,1533
ArrogantBastage,449
MirkoCroCough,4929
krausenman,13661
dberthia,10457
dzni,11034
RunForYourBeer,6125
Snamnoum,6588
Hophead717,3392
HopHeadRyan,3363
ghowehattrick,11714
DrMalt,2322
ComputerBeer,1809
Jpatrix,4018
bartle,8478
honestdave,12169
thatsright,17703
